attack_technique_id,attack_technique,mitigation_id,mitigation,mitigation_desc,controls
T1080,Taint Shared Content,CM1131,Active Deception,Maintain an internal deception environment divert suspicious traffic to that environment and interact with and analyze behavior to determine whether it is malicious and whether to investigate adversary TTPs.,AC-4(3) | IR-4(2) | IR-4(3) | SC-26 | SC-30(4) | SC-7(21) | SI-3(10)
T1080,Taint Shared Content,CM1137,Validate Data Properties,Validate data properties (including binaries metadata and cryptographic bindings) to defend against modification or fabrication.,PL-8(1) | SC-16(1) | SC-16(3) | SI-7 | SI-7(1)
T1080,Taint Shared Content,CM2015,Process Monitoring,Monitor the behavior of processes for indications of unusual unauthorized or suspicious use.,AU-6 | IR-4(13) | SI-4(2)
T1080,Taint Shared Content,CM2035,Monitor Specific Files,Monitor the use of specific files or directories for anomalous or suspicious uses or access attempts.,AU-6
T1082,System Information Discovery,CM1101,Present Deceptive Information,Present deceptive information about systems data processes and users. Monitor uses or search for presence of that information.,SC-30(4) | SI-20
T1082,System Information Discovery,CM2015,Process Monitoring,Monitor the behavior of processes for indications of unusual unauthorized or suspicious use.,AU-6 | IR-4(13) | SI-4(2)
T1083,File and Directory Discovery,CM1104,Passive Decoys,Use a factitious system or resource to decoy adversary attacks away from operational resources to increase the adversary's workload or to observe adversary activities.,SC-26 | SC-29
T1083,File and Directory Discovery,CM1115,Lock Down Thin Nodes,Minimize local functionality and disallow writable storage.,SC-25 | SC-34 | SC-34(1)
T1083,File and Directory Discovery,CM1116,Dynamic Data Location,Dynamically move data resources.,SC-30(3)
T1083,File and Directory Discovery,CM2015,Process Monitoring,Monitor the behavior of processes for indications of unusual unauthorized or suspicious use.,AU-6 | IR-4(13) | SI-4(2)
T1083,File and Directory Discovery,CM2020,Application- or Utility-Specific Monitoring,Monitor and analyze events in the context of a specific application or utility.,IR-4(13) | SI-4(2)
T1087,Account Discovery,CM1101,Present Deceptive Information,Present deceptive information about systems data processes and users. Monitor uses or search for presence of that information.,SC-30(4) | SI-20
T1087,Account Discovery,CM2015,Process Monitoring,Monitor the behavior of processes for indications of unusual unauthorized or suspicious use.,AU-6 | IR-4(13) | SI-4(2)
T1087,Account Discovery,CM2020,Application- or Utility-Specific Monitoring,Monitor and analyze events in the context of a specific application or utility.,IR-4(13) | SI-4(2)
T1090,Proxy,CM1151,Defend Enclave Boundaries,Maintain distinct enclaves based on security characteristics and use stringent filtering to defend the enclave boundary.,AC-4(12) | AC-4(17) | AC-4(21) | AC-4(8) | SC-7(21) | SC-7(22)
T1090,Proxy,CM1153,Modulate Information Flows,Use controlled interfaces and communication paths to provide access to risky capabilities or filter communications between enclaves.,AC-4(27) | AC-4(29) | AC-4(30) | SC-46 | SC-7(15)
T1090,Proxy,CM2002,Inspect and Analyze Network Traffic,Analyze network traffic for unusual data flows. Traffic inspection and analysis can be performed at the enterprise boundary at internal boundaries between enclaves or within enclaves.,AC-2(12) | AU-6 | IR-4(13) | SI-4(10) | SI-4(18) | SI-4(2) | SI-4(4)
T1090,Proxy,CM2041,Analyze Network Traffic Content,Analyze the contents of network traffic.,IR-4(13) | SI-4(10) | SI-4(25)
T1091,Replication Through Removable Media,CM1109,Virtual Sandbox,Use virtualization to create a controlled execution environment which is expunged after execution terminates.,SC-7(20) | SI-14
T1091,Replication Through Removable Media,CM2008,Removable Device Usage Detection,Detect anomalous or unauthorized events involving the use of removable devices.,CM-8(3)
T1092,Communication Through Removable Media,CM1109,Virtual Sandbox,Use virtualization to create a controlled execution environment which is expunged after execution terminates.,SC-7(20) | SI-14
T1092,Communication Through Removable Media,CM2008,Removable Device Usage Detection,Detect anomalous or unauthorized events involving the use of removable devices.,CM-8(3)
T1095,Non-Application Layer Protocol,CM1151,Defend Enclave Boundaries,Maintain distinct enclaves based on security characteristics and use stringent filtering to defend the enclave boundary.,AC-4(12) | AC-4(17) | AC-4(21) | AC-4(8) | SC-7(21) | SC-7(22)
T1095,Non-Application Layer Protocol,CM1153,Modulate Information Flows,Use controlled interfaces and communication paths to provide access to risky capabilities or filter communications between enclaves.,AC-4(27) | AC-4(29) | AC-4(30) | SC-46 | SC-7(15)
T1095,Non-Application Layer Protocol,CM2002,Inspect and Analyze Network Traffic,Analyze network traffic for unusual data flows. Traffic inspection and analysis can be performed at the enterprise boundary at internal boundaries between enclaves or within enclaves.,AC-2(12) | AU-6 | IR-4(13) | SI-4(10) | SI-4(18) | SI-4(2) | SI-4(4)
T1095,Non-Application Layer Protocol,CM2041,Analyze Network Traffic Content,Analyze the contents of network traffic.,IR-4(13) | SI-4(10) | SI-4(25)
T1098,Account Manipulation,CM1101,Present Deceptive Information,Present deceptive information about systems data processes and users. Monitor uses or search for presence of that information.,SC-30(4) | SI-20
T1098,Account Manipulation,CM1126,Enhanced Authentication,Use situation-specific risk- adaptive or out-of-band authentication.,CP-13 | IA-10 | IA-2(13) | SC-47
T1098,Account Manipulation,CM2018,Cross-Enterprise Behavior Analysis,Correlate and analyze the behavior of multiple systems.,AU-6(3) | AU-6(5)
T1098,Account Manipulation,CM2021,Account Monitoring,Monitor and analyze activity associated with user accounts for indications of unusual or suspicious use.,AC-2(12) | IR-4(13) | SI-4(2)
T1102,Web Service,CM1104,Passive Decoys,Use a factitious system or resource to decoy adversary attacks away from operational resources to increase the adversary's workload or to observe adversary activities.,SC-26 | SC-29
T1102,Web Service,CM2018,Cross-Enterprise Behavior Analysis,Correlate and analyze the behavior of multiple systems.,AU-6(3) | AU-6(5)
T1102,Web Service,CM2042,Analyze Outgoing Traffic Patterns,Analyze outgoing traffic for patterns of behavior that indicate adversary communications.,IR-4(13) | SI-4(18)
T1104,Multi-Stage Channels,CM1146,Refresh Sessions or Connections,Terminate and re-establish sessions or network connections unpredictably to disrupt adversary use.,SC-23(3) | SC-30(2) | SI-14(3)
T1104,Multi-Stage Channels,CM1151,Defend Enclave Boundaries,Maintain distinct enclaves based on security characteristics and use stringent filtering to defend the enclave boundary.,AC-4(12) | AC-4(17) | AC-4(21) | AC-4(8) | SC-7(21) | SC-7(22)
T1104,Multi-Stage Channels,CM1153,Modulate Information Flows,Use controlled interfaces and communication paths to provide access to risky capabilities or filter communications between enclaves.,AC-4(27) | AC-4(29) | AC-4(30) | SC-46 | SC-7(15)
T1104,Multi-Stage Channels,CM2018,Cross-Enterprise Behavior Analysis,Correlate and analyze the behavior of multiple systems.,AU-6(3) | AU-6(5)
T1105,Ingress Tool Transfer,CM1151,Defend Enclave Boundaries,Maintain distinct enclaves based on security characteristics and use stringent filtering to defend the enclave boundary.,AC-4(12) | AC-4(17) | AC-4(21) | AC-4(8) | SC-7(21) | SC-7(22)
T1105,Ingress Tool Transfer,CM2002,Inspect and Analyze Network Traffic,Analyze network traffic for unusual data flows. Traffic inspection and analysis can be performed at the enterprise boundary at internal boundaries between enclaves or within enclaves.,AC-2(12) | AU-6 | IR-4(13) | SI-4(10) | SI-4(18) | SI-4(2) | SI-4(4)
T1105,Ingress Tool Transfer,CM2015,Process Monitoring,Monitor the behavior of processes for indications of unusual unauthorized or suspicious use.,AU-6 | IR-4(13) | SI-4(2)
T1105,Ingress Tool Transfer,CM2033,Monitor the File System,Monitor the file system to identify the unexpected presence and atypical use of specific types of files or atypical patterns of access.,IR-4(13) | SI-4(2) | SI-4(24)
T1105,Ingress Tool Transfer,CM2041,Analyze Network Traffic Content,Analyze the contents of network traffic.,IR-4(13) | SI-4(10) | SI-4(25)
T1106,Native API,CM1131,Active Deception,Maintain an internal deception environment divert suspicious traffic to that environment and interact with and analyze behavior to determine whether it is malicious and whether to investigate adversary TTPs.,AC-4(3) | IR-4(2) | IR-4(3) | SC-26 | SC-30(4) | SC-7(21) | SI-3(10)
T1106,Native API,CM2022,Host-Local Event Correlation,Correlate and analyze events occurring on a single host.,IR-4(13) | SI-4(16)
T1110,Brute Force,CM1101,Present Deceptive Information,Present deceptive information about systems data processes and users. Monitor uses or search for presence of that information.,SC-30(4) | SI-20
T1110,Brute Force,CM1126,Enhanced Authentication,Use situation-specific risk- adaptive or out-of-band authentication.,CP-13 | IA-10 | IA-2(13) | SC-47
T1110,Brute Force,CM1128,Design Diversity,Use multiple designs to implement the same functionality.,SA-17(9)
T1110,Brute Force,CM1129,Check Policy Consistency,Ensure that policies are applied consistently across systems applications and services.,CA-7(5)
T1110,Brute Force,CM2004,Monitor Logs,Monitor system and application logs for anomalous or suspicious behavior.,AU-6 | IR-4(13) | SI-4(11) | SI-4(2)
T1111,Two-Factor Authentication Interception,CM2004,Monitor Logs,Monitor system and application logs for anomalous or suspicious behavior.,AU-6 | IR-4(13) | SI-4(11) | SI-4(2)
T1112,Modify Registry,CM1102,Maintain Deception Environment,Maintain a distinct subsystem or a set of components specifically designed to be the target of malicious attacks for detecting deflecting and analyzing such attacks.,SC-26 | SC-30(4) | SC-7(21)
T1112,Modify Registry,CM2015,Process Monitoring,Monitor the behavior of processes for indications of unusual unauthorized or suspicious use.,AU-6 | IR-4(13) | SI-4(2)
T1112,Modify Registry,CM2044,Monitor Platform Status,Monitor the status of platforms (e.g. user endpoints servers network devices).,IR-4(13) | SI-4(2)
T1113,Screen Capture,CM2005,Analyze Logs,Analyze logs (individually or with some correlation across logs) for anomalous or suspicious patterns of behavior.,AC-2(12) | SI-4(13) | SI-4(16)
T1113,Screen Capture,CM2020,Application- or Utility-Specific Monitoring,Monitor and analyze events in the context of a specific application or utility.,IR-4(13) | SI-4(2)
T1114,Email Collection,CM1101,Present Deceptive Information,Present deceptive information about systems data processes and users. Monitor uses or search for presence of that information.,SC-30(4) | SI-20
T1114,Email Collection,CM1126,Enhanced Authentication,Use situation-specific risk- adaptive or out-of-band authentication.,CP-13 | IA-10 | IA-2(13) | SC-47
T1114,Email Collection,CM2002,Inspect and Analyze Network Traffic,Analyze network traffic for unusual data flows. Traffic inspection and analysis can be performed at the enterprise boundary at internal boundaries between enclaves or within enclaves.,AC-2(12) | AU-6 | IR-4(13) | SI-4(10) | SI-4(18) | SI-4(2) | SI-4(4)
T1114,Email Collection,CM2015,Process Monitoring,Monitor the behavior of processes for indications of unusual unauthorized or suspicious use.,AU-6 | IR-4(13) | SI-4(2)
T1114,Email Collection,CM2020,Application- or Utility-Specific Monitoring,Monitor and analyze events in the context of a specific application or utility.,IR-4(13) | SI-4(2)
T1114,Email Collection,CM2034,Monitor Specific Servers,Monitor specific servers for anomalous or suspicious uses or access attempts.,IR-4(13) | SI-4(2)
T1114,Email Collection,CM2038,Monitor Command Line Use,Monitor command line interface use for common utilities (part of the system or installed by an adversary) and suspicious behavior.,IR-4(13) | SI-4(13) | SI-4(2) | SI-4(4)
T1115,Clipboard Data,CM2018,Cross-Enterprise Behavior Analysis,Correlate and analyze the behavior of multiple systems.,AU-6(3) | AU-6(5)
T1119,Automated Collection,CM1101,Present Deceptive Information,Present deceptive information about systems data processes and users. Monitor uses or search for presence of that information.,SC-30(4) | SI-20
T1119,Automated Collection,CM1114,Fragment Information,Fragment information and distribute it across multiple locations.,SI-23
T1119,Automated Collection,CM1116,Dynamic Data Location,Dynamically move data resources.,SC-30(3)
T1119,Automated Collection,CM1157,Defend Against Data Mining,Enforce access restrictions and provide alerting to defend against data mining.,AC-23
T1119,Automated Collection,CM2015,Process Monitoring,Monitor the behavior of processes for indications of unusual unauthorized or suspicious use.,AU-6 | IR-4(13) | SI-4(2)
T1120,Peripheral Device Discovery,CM1115,Lock Down Thin Nodes,Minimize local functionality and disallow writable storage.,SC-25 | SC-34 | SC-34(1)
T1120,Peripheral Device Discovery,CM1160,Conceal Resources from Discovery,Protect the network addresses of system components that are part of managed interfaces from discovery through common tools and techniques such as hiding or relocation.,SC-28(1) | SC-30 | SC-30(5) | SC-7(16)
T1120,Peripheral Device Discovery,CM2015,Process Monitoring,Monitor the behavior of processes for indications of unusual unauthorized or suspicious use.,AU-6 | IR-4(13) | SI-4(2)
T1123,Audio Capture,CM1121,Dynamically Disable or Suspend,Terminate processes or disable capabilities upon triggering conditions.,AC-2(8) | SC-15(1)
T1123,Audio Capture,CM2015,Process Monitoring,Monitor the behavior of processes for indications of unusual unauthorized or suspicious use.,AU-6 | IR-4(13) | SI-4(2)
T1124,System Time Discovery,CM2038,Monitor Command Line Use,Monitor command line interface use for common utilities (part of the system or installed by an adversary) and suspicious behavior.,IR-4(13) | SI-4(13) | SI-4(2) | SI-4(4)
T1125,Video Capture,CM1120,Trusted Path,Provide an isolated communications path between the user and security functions.,SC-11
T1125,Video Capture,CM1121,Dynamically Disable or Suspend,Terminate processes or disable capabilities upon triggering conditions.,AC-2(8) | SC-15(1)
T1125,Video Capture,CM2005,Analyze Logs,Analyze logs (individually or with some correlation across logs) for anomalous or suspicious patterns of behavior.,AC-2(12) | SI-4(13) | SI-4(16)
T1125,Video Capture,CM2020,Application- or Utility-Specific Monitoring,Monitor and analyze events in the context of a specific application or utility.,IR-4(13) | SI-4(2)
T1127,Trusted Developer Utilities Proxy Execution,CM2015,Process Monitoring,Monitor the behavior of processes for indications of unusual unauthorized or suspicious use.,AU-6 | IR-4(13) | SI-4(2)
T1129,Shared Modules,CM1111,Execution Restriction,Restrict the sources of executables and the locations in which execution can occur or implement other constraints on execution access.,AC-3(12) | AC-3(13)
T1129,Shared Modules,CM1131,Active Deception,Maintain an internal deception environment divert suspicious traffic to that environment and interact with and analyze behavior to determine whether it is malicious and whether to investigate adversary TTPs.,AC-4(3) | IR-4(2) | IR-4(3) | SC-26 | SC-30(4) | SC-7(21) | SI-3(10)
T1129,Shared Modules,CM2022,Host-Local Event Correlation,Correlate and analyze events occurring on a single host.,IR-4(13) | SI-4(16)
T1132,Data Encoding,CM2002,Inspect and Analyze Network Traffic,Analyze network traffic for unusual data flows. Traffic inspection and analysis can be performed at the enterprise boundary at internal boundaries between enclaves or within enclaves.,AC-2(12) | AU-6 | IR-4(13) | SI-4(10) | SI-4(18) | SI-4(2) | SI-4(4)
T1132,Data Encoding,CM2041,Analyze Network Traffic Content,Analyze the contents of network traffic.,IR-4(13) | SI-4(10) | SI-4(25)
T1133,External Remote Services,CM1124,Minimize Data Retention or Lifespan,Minimize the lifespan or retention of data and ensure that deleted data cannot be retrieved.,SC-23(3) | SI-14(2) | SI-21
T1133,External Remote Services,CM1126,Enhanced Authentication,Use situation-specific risk- adaptive or out-of-band authentication.,CP-13 | IA-10 | IA-2(13) | SC-47
T1133,External Remote Services,CM1127,Minimize Duration of Connection or Session,Minimize the time period for which a connection remains open or a session remains active requiring reauthorization to reestablish connectivity.,AC-12 | SC-10 | SC-7(10) | SI-14(3)
T1133,External Remote Services,CM2005,Analyze Logs,Analyze logs (individually or with some correlation across logs) for anomalous or suspicious patterns of behavior.,AC-2(12) | SI-4(13) | SI-4(16)
T1134,Access Token Manipulation,CM1113,Present Decoy Data,Present plausible but factitious data assets to attract the adversary. Monitor uses of those assets or search for the presence of decoy information.,SC-26 | SC-30(4) | SI-20
T1134,Access Token Manipulation,CM1118,Partition Host,Partition a host (e.g. server endpoint system) into separate logical domains.,SC-2 | SC-2(1) | SC-32 | SC-32(1)
T1134,Access Token Manipulation,CM1126,Enhanced Authentication,Use situation-specific risk- adaptive or out-of-band authentication.,CP-13 | IA-10 | IA-2(13) | SC-47
T1134,Access Token Manipulation,CM1137,Validate Data Properties,Validate data properties (including binaries metadata and cryptographic bindings) to defend against modification or fabrication.,PL-8(1) | SC-16(1) | SC-16(3) | SI-7 | SI-7(1)
T1134,Access Token Manipulation,CM2014,Process Analysis,Analyze process attributes or behavior for indications of unusual unauthorized or suspicious use.,IR-4(13) | SI-4(2)
T1134,Access Token Manipulation,CM2038,Monitor Command Line Use,Monitor command line interface use for common utilities (part of the system or installed by an adversary) and suspicious behavior.,IR-4(13) | SI-4(13) | SI-4(2) | SI-4(4)
T1135,Network Share Discovery,CM1104,Passive Decoys,Use a factitious system or resource to decoy adversary attacks away from operational resources to increase the adversary's workload or to observe adversary activities.,SC-26 | SC-29
T1135,Network Share Discovery,CM1160,Conceal Resources from Discovery,Protect the network addresses of system components that are part of managed interfaces from discovery through common tools and techniques such as hiding or relocation.,SC-28(1) | SC-30 | SC-30(5) | SC-7(16)
T1135,Network Share Discovery,CM2015,Process Monitoring,Monitor the behavior of processes for indications of unusual unauthorized or suspicious use.,AU-6 | IR-4(13) | SI-4(2)
T1135,Network Share Discovery,CM2020,Application- or Utility-Specific Monitoring,Monitor and analyze events in the context of a specific application or utility.,IR-4(13) | SI-4(2)
T1136,Create Account,CM1129,Check Policy Consistency,Ensure that policies are applied consistently across systems applications and services.,CA-7(5)
T1136,Create Account,CM2015,Process Monitoring,Monitor the behavior of processes for indications of unusual unauthorized or suspicious use.,AU-6 | IR-4(13) | SI-4(2)
T1137,Office Application Startup,CM1134,Refresh Selected Applications or Components,Refresh software firmware or data from a trusted source.,SI-14(1) | SI-14(2)
T1137,Office Application Startup,CM2004,Monitor Logs,Monitor system and application logs for anomalous or suspicious behavior.,AU-6 | IR-4(13) | SI-4(11) | SI-4(2)
T1137,Office Application Startup,CM2020,Application- or Utility-Specific Monitoring,Monitor and analyze events in the context of a specific application or utility.,IR-4(13) | SI-4(2)
T1137,Office Application Startup,CM2033,Monitor the File System,Monitor the file system to identify the unexpected presence and atypical use of specific types of files or atypical patterns of access.,IR-4(13) | SI-4(2) | SI-4(24)
T1140,Deobfuscate/Decode Files or Information,CM1110,Application- or Utility-Specific Data Removal,Analyze files and data structures specific to an application or utility for anomalies and delete them.,IR-4(13) | IR-4(2) | SI-4(2) | SI-7(1) | SI-7(7)
T1140,Deobfuscate/Decode Files or Information,CM2022,Host-Local Event Correlation,Correlate and analyze events occurring on a single host.,IR-4(13) | SI-4(16)
T1176,Browser Extensions,CM1123,Active Decoys,Use one or more factitious systems or other resources to identify malicious sites interact with the adversary actively probe for malicious code and observe adversary TTPs.,SC-26 | SC-35 | SC-44
T1176,Browser Extensions,CM2015,Process Monitoring,Monitor the behavior of processes for indications of unusual unauthorized or suspicious use.,AU-6 | IR-4(13) | SI-4(2)
T1176,Browser Extensions,CM2020,Application- or Utility-Specific Monitoring,Monitor and analyze events in the context of a specific application or utility.,IR-4(13) | SI-4(2)
T1185,Browser Session Hijacking,CM1121,Dynamically Disable or Suspend,Terminate processes or disable capabilities upon triggering conditions.,AC-2(8) | SC-15(1)
T1185,Browser Session Hijacking,CM2020,Application- or Utility-Specific Monitoring,Monitor and analyze events in the context of a specific application or utility.,IR-4(13) | SI-4(2)
T1187,Forced Authentication,CM2002,Inspect and Analyze Network Traffic,Analyze network traffic for unusual data flows. Traffic inspection and analysis can be performed at the enterprise boundary at internal boundaries between enclaves or within enclaves.,AC-2(12) | AU-6 | IR-4(13) | SI-4(10) | SI-4(18) | SI-4(2) | SI-4(4)
T1187,Forced Authentication,CM2003,Endpoint Behavior Analysis,Analyze the behavior of endpoint (i.e. end-user client) systems for anomalous behavior.,AC-2(12)
T1189,Drive-by Compromise,CM1123,Active Decoys,Use one or more factitious systems or other resources to identify malicious sites interact with the adversary actively probe for malicious code and observe adversary TTPs.,SC-26 | SC-35 | SC-44
T1189,Drive-by Compromise,CM2002,Inspect and Analyze Network Traffic,Analyze network traffic for unusual data flows. Traffic inspection and analysis can be performed at the enterprise boundary at internal boundaries between enclaves or within enclaves.,AC-2(12) | AU-6 | IR-4(13) | SI-4(10) | SI-4(18) | SI-4(2) | SI-4(4)
T1189,Drive-by Compromise,CM2003,Endpoint Behavior Analysis,Analyze the behavior of endpoint (i.e. end-user client) systems for anomalous behavior.,AC-2(12)
T1190,Exploit Public-Facing Application,CM1101,Present Deceptive Information,Present deceptive information about systems data processes and users. Monitor uses or search for presence of that information.,SC-30(4) | SI-20
T1190,Exploit Public-Facing Application,CM1102,Maintain Deception Environment,Maintain a distinct subsystem or a set of components specifically designed to be the target of malicious attacks for detecting deflecting and analyzing such attacks.,SC-26 | SC-30(4) | SC-7(21)
T1190,Exploit Public-Facing Application,CM1107,Adversarial Simulation,Simulate adversary activities to test the effectiveness of system protections and detection mechanisms.,AT-2(1) | AT-3(3) | CA-8 | CA-8(2) | SC-7(10) | SI-19(8)
T1190,Exploit Public-Facing Application,CM2004,Monitor Logs,Monitor system and application logs for anomalous or suspicious behavior.,AU-6 | IR-4(13) | SI-4(11) | SI-4(2)
T1195,Supply Chain Compromise,CM1105,Component Provenance Validation,Validate the provenance of system components.,SR-4 | SR-4(1) | SR-4(2) | SR-4(3) | SR-4(4)
T1195,Supply Chain Compromise,CM1106,Supply Chain Diversity,Provide multiple distinct supply chains for system components.,PL-8(2) | SR-3(1) | SR-3(2)
T1195,Supply Chain Compromise,CM2009,Software Integrity Check,Perform integrity checks (e.g. using checksums hashes or digital signatures) on software software certificates or metadata.,CM-14 | SI-7 | SI-7(1) | SI-7(6) | SR-4(3)
T1195,Supply Chain Compromise,CM2010,Software Stress Testing,Perform software stress testing (e.g. using out-of-bounds input values) prior to installation.,SR-6(1)
T1195,Supply Chain Compromise,CM2011,Physical Inspection,Perform a physical inspection of hardware components for indicators of tampering.,SR-10 | SR-9
T1197,BITS Jobs,CM1102,Maintain Deception Environment,Maintain a distinct subsystem or a set of components specifically designed to be the target of malicious attacks for detecting deflecting and analyzing such attacks.,SC-26 | SC-30(4) | SC-7(21)
T1197,BITS Jobs,CM2020,Application- or Utility-Specific Monitoring,Monitor and analyze events in the context of a specific application or utility.,IR-4(13) | SI-4(2)
T1199,Trusted Relationship,CM2012,Monitor Trusted Parties,Monitor the behavior and status (e.g. change in ownership) of second or third parties.,PM-16 | PM-30(1) | SI-10(3) | SI-4(17)
T1200,Hardware Additions,CM1101,Present Deceptive Information,Present deceptive information about systems data processes and users. Monitor uses or search for presence of that information.,SC-30(4) | SI-20
T1200,Hardware Additions,CM1125,Authenticate Devices,Authenticate a device before establishing a connection to it.,IA-3(1)
T1200,Hardware Additions,CM2007,Host Event Detection,Detect anomalous or unauthorized events on hosts (e.g. servers endpoint systems).,CM-8(3) | IR-4(13) | SI-4(2)
T1201,Password Policy Discovery,CM2015,Process Monitoring,Monitor the behavior of processes for indications of unusual unauthorized or suspicious use.,AU-6 | IR-4(13) | SI-4(2)
T1202,Indirect Command Execution,CM1102,Maintain Deception Environment,Maintain a distinct subsystem or a set of components specifically designed to be the target of malicious attacks for detecting deflecting and analyzing such attacks.,SC-26 | SC-30(4) | SC-7(21)
T1202,Indirect Command Execution,CM2005,Analyze Logs,Analyze logs (individually or with some correlation across logs) for anomalous or suspicious patterns of behavior.,AC-2(12) | SI-4(13) | SI-4(16)
T1203,Exploitation for Client Execution,CM1103,Detonation Chamber,Use a dynamic execution environment to handle potentially harmful incoming data.,SC-44
T1203,Exploitation for Client Execution,CM1131,Active Deception,Maintain an internal deception environment divert suspicious traffic to that environment and interact with and analyze behavior to determine whether it is malicious and whether to investigate adversary TTPs.,AC-4(3) | IR-4(2) | IR-4(3) | SC-26 | SC-30(4) | SC-7(21) | SI-3(10)
T1203,Exploitation for Client Execution,CM2003,Endpoint Behavior Analysis,Analyze the behavior of endpoint (i.e. end-user client) systems for anomalous behavior.,AC-2(12)
T1203,Exploitation for Client Execution,CM2019,Endpoint Scrutiny,Scrutinize the contents and behavior patterns of an endpoint system.,IR-4(12)
T1204,User Execution,CM1119,Minimize Local Functionality,Construct or configure systems or applications to minimize their inherent functionality.,CM-7(2) | SC-25
T1204,User Execution,CM1136,Identify External Malware,Identify and redirect malware found on external systems.,SC-35
T1204,User Execution,CM2020,Application- or Utility-Specific Monitoring,Monitor and analyze events in the context of a specific application or utility.,IR-4(13) | SI-4(2)
T1205,Traffic Signaling,CM1104,Passive Decoys,Use a factitious system or resource to decoy adversary attacks away from operational resources to increase the adversary's workload or to observe adversary activities.,SC-26 | SC-29
T1205,Traffic Signaling,CM1127,Minimize Duration of Connection or Session,Minimize the time period for which a connection remains open or a session remains active requiring reauthorization to reestablish connectivity.,AC-12 | SC-10 | SC-7(10) | SI-14(3)
T1205,Traffic Signaling,CM2002,Inspect and Analyze Network Traffic,Analyze network traffic for unusual data flows. Traffic inspection and analysis can be performed at the enterprise boundary at internal boundaries between enclaves or within enclaves.,AC-2(12) | AU-6 | IR-4(13) | SI-4(10) | SI-4(18) | SI-4(2) | SI-4(4)
T1207,Rogue Domain Controller,CM1130,Validate Data Quality,Validate data quality (e.g. integrity consistency correctness).,SA-9(7) | SI-7(1)
T1207,Rogue Domain Controller,CM2002,Inspect and Analyze Network Traffic,Analyze network traffic for unusual data flows. Traffic inspection and analysis can be performed at the enterprise boundary at internal boundaries between enclaves or within enclaves.,AC-2(12) | AU-6 | IR-4(13) | SI-4(10) | SI-4(18) | SI-4(2) | SI-4(4)
T1210,Exploitation of Remote Services,CM1102,Maintain Deception Environment,Maintain a distinct subsystem or a set of components specifically designed to be the target of malicious attacks for detecting deflecting and analyzing such attacks.,SC-26 | SC-30(4) | SC-7(21)
T1210,Exploitation of Remote Services,CM2003,Endpoint Behavior Analysis,Analyze the behavior of endpoint (i.e. end-user client) systems for anomalous behavior.,AC-2(12)
T1210,Exploitation of Remote Services,CM2047,Monitor Network Usage,Monitor network usage for anomalous behavior.,IR-4(13) | SI-4(11) | SI-4(13)
T1211,Exploitation for Defense Evasion,CM1131,Active Deception,Maintain an internal deception environment divert suspicious traffic to that environment and interact with and analyze behavior to determine whether it is malicious and whether to investigate adversary TTPs.,AC-4(3) | IR-4(2) | IR-4(3) | SC-26 | SC-30(4) | SC-7(21) | SI-3(10)
T1212,Exploitation for Credential Access,CM2003,Endpoint Behavior Analysis,Analyze the behavior of endpoint (i.e. end-user client) systems for anomalous behavior.,AC-2(12)
T1213,Data from Information Repositories,CM1101,Present Deceptive Information,Present deceptive information about systems data processes and users. Monitor uses or search for presence of that information.,SC-30(4) | SI-20
T1213,Data from Information Repositories,CM1107,Adversarial Simulation,Simulate adversary activities to test the effectiveness of system protections and detection mechanisms.,AT-2(1) | AT-3(3) | CA-8 | CA-8(2) | SC-7(10) | SI-19(8)
T1213,Data from Information Repositories,CM1114,Fragment Information,Fragment information and distribute it across multiple locations.,SI-23
T1213,Data from Information Repositories,CM1117,Dynamic Account Management,Dynamically update an account's authorizations or privileges.,AC-2(6) | AC-2(8)
T1213,Data from Information Repositories,CM1124,Minimize Data Retention or Lifespan,Minimize the lifespan or retention of data and ensure that deleted data cannot be retrieved.,SC-23(3) | SI-14(2) | SI-21
T1213,Data from Information Repositories,CM1135,Hide Sensitive Information,Conceal (e.g. via encryption or data hiding) or remove sensitive information (including metadata).,SC-28(1) | SI-19(4)
T1213,Data from Information Repositories,CM2017,Privileged Account Monitoring,Monitor and analyze activity associated with privileged accounts for indications of unusual or suspicious use.,AU-6(8)
T1213,Data from Information Repositories,CM2021,Account Monitoring,Monitor and analyze activity associated with user accounts for indications of unusual or suspicious use.,AC-2(12) | IR-4(13) | SI-4(2)
T1216,Signed Script Proxy Execution,CM1119,Minimize Local Functionality,Construct or configure systems or applications to minimize their inherent functionality.,CM-7(2) | SC-25
T1216,Signed Script Proxy Execution,CM1131,Active Deception,Maintain an internal deception environment divert suspicious traffic to that environment and interact with and analyze behavior to determine whether it is malicious and whether to investigate adversary TTPs.,AC-4(3) | IR-4(2) | IR-4(3) | SC-26 | SC-30(4) | SC-7(21) | SI-3(10)
T1216,Signed Script Proxy Execution,CM1132,Quarantine or Delete Suspicious Files,Move and make inaccessible or delete suspicious files.,CM-7(6) | SI-14 | SI-14(2) | SR-4(3)
T1216,Signed Script Proxy Execution,CM2015,Process Monitoring,Monitor the behavior of processes for indications of unusual unauthorized or suspicious use.,AU-6 | IR-4(13) | SI-4(2)
T1216,Signed Script Proxy Execution,CM2029,Monitor Script Execution,Monitor for the execution of scripts that are unknown or used in suspicious ways.,IR-4(13) | SI-4(13) | SI-4(2)
